Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
194,"9.259","-0.0431","0.0042","9.9976","202.3587",
195,"9.368","-0.0335","-0.0054","9.9832","202.4101",
196,"9.374","-0.0239","0.0186","10.0598","202.4416",
197,"9.457","-0.1101","0.0042","9.8779","202.3355",
198,"9.469","-0.0048","-0.015","9.9162","202.3983",
199,"9.475","0.0144","0.009","9.9497","202.4297",
200,"9.555","-0.1053","-0.1107","10.0215","202.324",
201,"9.646","-0.0958","-0.0006","9.9976","202.4621",
202,"9.649","-0.0527","0.0569","9.988","202.2813",
203,"9.656","-0.0622","0.0186","9.9258","202.3437",
204,"9.736","-0.1053","-0.0293","9.9401","202.388",
205,"9.833","-0.1006","0.0281","9.9306","202.4074",
206,"9.845","-0.1053","-0.0054","9.988","202.4385",
207,"9.927","-0.0144","0.0233","9.9736","202.3649",
208,"9.947","-0.0335","0.0042","9.9832","202.4577",
209,"10.019","-0.0287","-0.0006","9.8875","202.2917",
210,"10.109","-0.0431","-0.0198","9.8539","202.4588",
211,"10.121","-0.0383","0.0904","9.9689","202.2806",
212,"10.123","-0.0958","0.0521","9.9306","202.3113",
213,"10.223","-0.0144","0.0042","10.0407","202.3001",
214,"10.312","-0.0958","-0.0676","9.8539","202.4355",
215,"10.413","-0.0383","0.0281","9.8875","202.424",
216,"10.424","-0.0718","0.009","10.0455","202.3084",
217,"10.5","-0.1389","-0.0437","9.9784","202.3517",
218,"10.508","-0.0239","0.0425","9.9353","202.4125",
219,"10.598","-0.0335","-0.0437","9.7917","202.3102",
220,"10.604","-0.067","-0.0054","10.0359","202.3708",
221,"10.613","-0.0718","-0.0628","9.9736","202.4315",
222,"10.699","-0.0575","0.0186","9.8348","202.3596",
223,"10.709","-0.1006","-0.0054","10.0503","202.42",
224,"10.795","-0.0383","-0.0293","10.055","202.3183",
225,"10.8","-0.067","-0.0198","10.079","202.3484",
226,"10.807","-0.1006","0.0664","9.9736","202.4087",
227,"10.909","-0.0766","0.0521","9.9353","202.4275",
228,"11.016","-0.091","-0.0054","9.9832","202.3862",
229,"11.119","-0.067","0.076","10.1987","202.4348",
