Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
287,"5.831","9.821","-0.0734","0.5189","203.1203",
288,"5.839","9.7504","-0.0734","0.5185","203.2751",
289,"5.946","9.8689","-0.0916","0.5309","202.8703",
290,"5.959","9.7487","-0.0701","0.5228","203.0235",
291,"6.046","9.7875","-0.0676","0.6698","202.8383",
292,"6.054","9.7507","-0.0696","0.5258","202.9143",
293,"6.058","9.7502","-0.0702","0.525","202.9903",
294,"6.14","9.6822","-0.1059","0.5644","203.1701",
295,"6.151","9.7515","-0.0712","0.5206","202.8067",
296,"6.227","9.8019","-0.082","0.5261","202.911",
297,"6.24","9.7495","-0.0715","0.5197","203.1362",
298,"6.243","9.7498","-0.0718","0.5197","203.2113",
299,"6.322","9.6965","-0.0719","0.4687","202.2833",
300,"6.324","9.6295","-0.0198","0.2628","202.9538",
301,"6.331","9.7498","-0.072","0.512","203.0283",
302,"6.335","9.7504","-0.0709","0.5108","203.1028",
303,"6.34","9.7507","-0.071","0.5112","203.1773",
304,"6.415","9.7444","-0.1443","0.4399","202.1825",
305,"6.417","9.7971","-0.1059","0.3106","202.7741",
306,"6.424","9.7485","-0.0732","0.5085","202.922",
307,"6.527","9.8019","-0.0341","0.5052","201.7896",
308,"6.53","9.6869","-0.0964","0.4687","202.0098",
309,"6.533","9.7779","-0.0102","0.5048","202.5971",
310,"6.535","9.7472","-0.0389","0.2771","203.1109",
311,"6.547","9.7465","-0.0749","0.4975","203.1843",
312,"6.63","9.7109","-0.1347","0.4924","202.9327",
313,"6.642","9.7451","-0.0743","0.4699","203.0784",
314,"6.737","9.5577","-0.0741","0.009","202.3231",
315,"6.74","9.4092","-0.3645","0.981","203.1911",
316,"6.754","9.7184","-0.0813","0.4379","202.8434",
317,"6.763","9.7199","-0.0806","0.4429","202.9877",
318,"6.854","9.5673","-0.0612","0.3639","202.1686",
319,"6.86","9.2387","-0.1144","0.3929","202.885",
320,"6.866","9.1827","-0.1275","0.4157","202.9567",
321,"6.971","2.5666","1.6514","15.7197","203.1395",
322,"7.069","-0.0814","0.167","9.5666","202.1897",
323,"7.075","-0.0287","0.0138","9.8396","202.8959",
324,"7.077","6.9843","-0.3151","1.9303","203.1784",
325,"7.167","-0.3208","0.0712","9.8252","202.9363",
326,"7.176","6.061","-0.3019","2.8247","203.0765",
327,"7.179","6.0148","-0.3014","2.8699","203.1467",
328,"7.254","5.8773","-0.0964","10.0407","202.2102",
329,"7.256","0.2634","-0.0485","3.5404","202.7672",
330,"7.262","5.2816","-0.2959","3.5847","202.8368",
331,"7.265","5.2339","-0.2954","3.6295","202.9065",
332,"7.34","4.7691","0.0521","10.0407","202.933",
333,"7.349","4.4448","-0.2864","4.3892","203.1409",
334,"7.431","-0.0766","0.0521","9.988","202.353",
335,"7.435","3.6569","-0.2772","5.1582","202.9036",
336,"7.447","3.5181","-0.2762","5.2911","203.1101",
337,"7.54","-0.0862","0.0569","9.9162","202.7378",
338,"7.547","2.5929","-0.2662","9.9353","203.1479",
339,"7.642","-0.1293","0.0186","10.1269","202.6422",
340,"7.645","1.76","-0.0102","7.1012","203.0495",
341,"7.656","1.5748","-0.2551","7.1926","202.7235",
342,"7.754","-0.1245","-0.0102","9.8731","201.8216",
343,"7.756","-0.1676","0.0138","9.7773","202.6962",
344,"7.763","0.5669","-0.2446","8.233","202.8307",
345,"7.869","-0.1149","0.009","10.055","202.6692",
346,"7.89","-0.2463","-0.2299","9.4809","203.1369",
347,"7.957","-0.0622","-0.0198","9.8444","202.7753",
348,"7.967","-0.0598","-0.0178","9.91","202.8416",
349,"8.048","-0.1101","0.0569","10.0263","202.8012",
350,"8.061","-0.0559","0.0217","9.9618","202.7481",
351,"8.066","-0.0566","0.0224","9.9674","202.814",
352,"8.151","-0.0622","-0.015","10.0886","202.3801",
353,"8.155","-0.0645","0.0042","10.0167","202.9052",
354,"8.159","-0.0718","0.0292","9.9718","202.7213",
355,"8.165","-0.0716","0.0296","9.9709","202.7868",
356,"8.172","-0.0726","0.0306","9.9713","202.8523",
357,"8.253","-0.0686","0.0262","9.9722","202.8775",
358,"8.265","-0.0711","0.027","9.9723","202.6948",
359,"8.347","-0.0723","0.0284","9.9729","202.9797",
360,"8.36","-0.0048","0.0286","9.9724","202.7334",
361,"8.451","-0.0731","-0.0628","9.9545","202.5657",
362,"8.454","-0.0958","0.076","9.9736","203.0163",
363,"8.463","-0.0728","0.0283","9.9753","202.7072",
364,"8.47","-0.0731","0.0281","9.9756","202.7714",
365,"8.547","-0.0958","0.0521","9.9162","202.2209",
366,"8.549","-0.0383","0.0042","10.0311","202.4767",
367,"8.552","-0.0766","0.0712","9.9545","202.9244",
368,"8.555","-0.0723","0.0284","9.9721","202.6813",
369,"8.565","-0.0719","0.0284","9.9715","202.7451",
370,"8.57","-0.0717","0.0281","9.9713","202.8089",
371,"8.646","-0.0718","0.0273","9.9722","202.8972",
372,"8.661","-0.0714","0.0277","9.972","202.6558",
373,"8.736","-0.1197","0.0265","9.9401","202.8073",
374,"8.821","-0.1341","0.0274","9.9689","203.0205",
375,"8.831","-0.0727","0.0288","9.9687","202.7185",
376,"8.836","-0.0728","0.0283","9.9687","202.7813",
377,"8.919","-0.0287","0.0473","9.9693","202.9932",
378,"8.931","-0.0724","0.0304","9.9686","202.6932",
379,"9.014","-0.0723","0.0473","9.9306","202.2212",
380,"9.016","-0.0712","0.0304","9.9545","202.9662",
381,"9.031","-0.0717","0.0307","9.9671","203.0283",
382,"9.113","-0.0738","0.0309","10.0455","202.9396",
383,"9.119","-0.0743","0.0309","9.9654","203.0013",
384,"9.123","-0.0746","0.0309","9.9649","203.063",
385,"9.204","-0.0718","0.0186","9.9832","202.3615",
386,"9.208","-0.0958","0.0322","9.9661","202.7907",
387,"9.221","-0.0757","0.032","9.9671","202.9747",
388,"9.225","-0.0758","0.0323","9.9668","203.036",
389,"9.295","-0.0862","-0.015","9.7821","202.6314",
